# role	policy-key-or-exemption	source	owner	mechanism	surface-or-entry	target-or-resource	[occurrences=1]
# Stable keys deliberately omit line numbers. The scanner derives owner names
# from production function bodies, scans only cataloged surface types plus the
# MenuController Panel container, and separately records resource loaders and
# loading-overlay functions. Ordinary Button/Label/Item make_shared calls are
# not surface candidates.
surface-resource	mobile.joystick	src/Game/Menu/JoystickPanel.cpp	JoystickPanel::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\mobile\\\\joystick\\\\joystick.menu.ini"
surface-resource	rpg.magic	src/Game/Menu/MagicMenu.cpp	MagicMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\magic\\\\magic.menu.ini"
surface-resource	map-thumbnail	src/Game/Menu/MapThumbnailMenu.cpp	MapThumbnailMenu::init	resource-load	loadMenuDefinition	this:MenuResource::selectByMenuProfile( "ini\\\\ui\\\\mapthumbnail\\\\mapthumbnail.menu.ini", "ini\\\\ui\\\\littlemap\\\\littlemap.menu.ini", "ini\\\\ui\\\\littlemap\\\\littlemap.menu.ini")
surface-resource	rpg.memo	src/Game/Menu/MemoMenu.cpp	MemoMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\memo\\\\memo.menu.ini"
surface-resource	message	src/Game/Menu/MsgBox.cpp	MsgBox::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\message\\\\msgbox.menu.ini"
surface-resource	option	src/Game/Menu/Option.cpp	Option::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\option\\\\option.menu.ini"
surface-resource	rpg.practice	src/Game/Menu/PracticeMenu.cpp	PracticeMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\xiulian\\\\xiulian.menu.ini"
surface-resource	save-load.title,save-load.system	src/Game/Menu/SaveLoad.cpp	SaveLoad::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\saveload\\\\saveload.menu.ini"
surface-resource	mobile.skills	src/Game/Menu/SkillsPanel.cpp	SkillsPanel::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\mobile\\\\skills\\\\skills.menu.ini"
surface-resource	rpg.state	src/Game/Menu/StateMenu.cpp	StateMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\state\\\\state.menu.ini"
surface-resource	system	src/Game/Menu/System.cpp	System::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\system\\\\system.menu.ini"
surface-instance	option	src/Game/Menu/System.cpp	System::openOptions	make-shared	Option	option
surface-instance	save-load.system	src/Game/Menu/System.cpp	System::openSaveLoad	make-shared	SaveLoad	saveLoad
surface-resource	timer	src/Game/Menu/TimerMenu.cpp	TimerMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\timer\\\\timer.menu.ini"
surface-resource	tooltip	src/Game/Menu/ToolTip.cpp	ToolTip::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\tooltip\\\\tooltip.menu.ini"
surface-resource	hud.top	src/Game/Menu/TopMenu.cpp	TopMenu::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\top\\\\top.menu.ini"
surface-resource	global.yes-no	src/Game/Menu/YesNo.cpp	YesNo::init	resource-load	loadMenuDefinition	this:"ini\\\\ui\\\\yesno\\\\yesno.menu.ini"
surface-resource	startup.title	src/Game/Scene/Title.cpp	Title::init	resource-load	loadMenuDefinition	this:menuName
surface-instance	video.playback	src/Game/Scene/Title.cpp	Title::onRun	make-shared	VideoPage	vp
surface-instance	save-load.title	src/Game/Scene/Title.cpp	Title::openSavedGame	make-shared	SaveLoad	saveLoad
surface-instance	title.team	src/Game/Scene/Title.cpp	Title::openTeamPage	make-shared	TitleTeam	titleTeam
surface-instance	video.playback	src/Game/Scene/TitleTeam.cpp	TitleTeam::onInitial	make-shared	VideoPage	vp
surface-trigger	loading-text-overlay	src/Game/Script/ScriptAPI.cpp	ScriptAPI::loadGameAsync	function-call	ScriptAPI::runExclusiveLoadingTask	statusText, worker, successFinalizer
surface-trigger	loading-text-overlay	src/Game/Script/ScriptAPI.cpp	ScriptAPI::loadMapAsync	function-call	ScriptAPI::runExclusiveLoadingTask	statusText, worker, successFinalizer
surface-trigger	loading-text-overlay	src/Game/Script/ScriptAPI.cpp	ScriptAPI::loadNPCAsync	function-call	ScriptAPI::runExclusiveLoadingTask	statusText, worker, successFinalizer
surface-trigger	loading-text-overlay	src/Game/Script/ScriptAPI.cpp	ScriptAPI::loadObjectAsync	function-call	ScriptAPI::runExclusiveLoadingTask	statusText, worker, successFinalizer
surface-function	loading-text-overlay	src/Game/Script/ScriptAPI.cpp	ScriptAPI::runExclusiveLoadingTask	function-definition	ScriptAPI::runExclusiveLoadingTask	<entry>
surface-instance	video.playback	src/Game/Script/ScriptAPI.cpp	ScriptAPI::playMovie	make-shared	VideoPlayer	gameManager->video
